organism,complete_buscos,single_copy_buscos,fragmented_buscos,missing_buscos
GCA_001858085.1_ASM185808v1_genomic.fna,745,741,2,11
GCA_019633425.1_Tulasn424_1.0_genomic.fna,698,687,31,29
GCA_028028135.1_ASM2802813v1_genomic.fna,753,752,2,3
GCA_014898285.1_ASM1489828v1_genomic.fna,747,746,5,6
GCA_000170175.2_CPS2_genomic.fna,744,743,5,9
GCA_910592135.1_Racocetra_fulgida_IN212_genomic.fna,512,504,92,154
GCA_022830425.1_ASM2283042v1_genomic.fna,743,741,7,8
GCA_004917415.1_ASM491741v1_genomic.fna,729,728,24,5
GCA_027575835.1_UCR_LipeNRRL3781_1.0_genomic.fna,460,458,158,140
GCA_020578585.1_ASM2057858v1_genomic.fna,748,746,5,5
GCA_947369975.1_AMH_1a.nuclear_genome_genomic.fna,733,716,1,24
GCA_033119285.1_ASM3311928v1_genomic.fna,681,218,50,27
GCA_030553215.1_ASM3055321v1_genomic.fna,750,44,4,4
GCA_044049465.1_Asppust1_genomic.fna,746,743,4,8
GCA_015584085.1_Macfu1_genomic.fna,735,731,10,13
GCA_004307925.1_Dicsqu18370_1_genomic.fna,728,725,13,17
GCA_027577655.1_UCR_CoemRSA454_1.0_genomic.fna,412,407,118,228
GCA_024516155.1_Pyrom1_genomic.fna,736,722,7,15
GCA_000250695.1_Nema_parisii_ERTm2_V1_genomic.fna,147,147,33,578
GCA_036783925.1_UCR_BdCLFT044_1.0_genomic.fna,677,654,15,66
GCA_007821475.1_CFIA_Lari_EG2017_genomic.fna,737,732,9,12
GCA_019207635.1_ASM1920763v1_genomic.fna,729,728,5,24
GCA_911174885.1_Pnal_CBS112438_genomic.fna,746,741,1,11
GCA_021365295.1_Hymvar1_genomic.fna,747,743,4,7
GCA_009193485.1_Asptam1_genomic.fna,748,747,2,8
GCA_019924255.1_ASM1992425v1_genomic.fna,708,78,35,15
GCA_028826755.1_ASM2882675v1_genomic.fna,745,742,1,12
GCA_023134295.1_ASM2313429v1_genomic.fna,746,744,1,11
GCA_037102615.1_ASM3710261v1_genomic.fna,510,499,22,226
GCA_002980475.2_ASM298047v2_genomic.fna,746,741,5,7
GCA_000978225.2_Sc_YJM1549_v1_genomic.fna,733,716,1,24
GCA_024760935.1_ASM2476093v1_genomic.fna,749,747,5,4
GCA_022627115.1_ASM2262711v1_genomic.fna,750,746,3,5
GCA_029378385.1_Mycmet1_genomic.fna,741,448,4,13
GCA_000350345.1_Foc1_1.0_genomic.fna,746,743,3,9
GCA_004155945.1_ASM415594v1_genomic.fna,747,741,4,7
GCA_024613165.1_Pisalb1_genomic.fna,724,309,11,23
GCA_006535955.1_ASM653595v1_genomic.fna,571,570,59,128
GCA_021436925.2_ASM2143692v2_genomic.fna,751,748,3,4
GCA_020500355.1_ASM2050035v1_genomic.fna,745,744,6,7
GCA_002116315.1_ASM211631v1_genomic.fna,753,751,2,3
GCA_020501095.1_ASM2050109v1_genomic.fna,746,745,5,7
GCA_911649665.1_Hyemnoscyphus_fraxineus_nf4_v1_genomic.fna,744,741,3,11
GCA_025328625.1_ASM2532862v1_genomic.fna,744,742,6,8
GCA_000334115.1_Rhisol_AG1IA_1.0_genomic.fna,699,694,14,45
GCA_018360935.1_CSU_Clav04_v1_genomic.fna,737,732,14,7
GCA_020500235.1_ASM2050023v1_genomic.fna,743,742,7,8
GCA_003615085.1_FoC_Fus2_v1_genomic.fna,750,746,1,7
GCA_013396035.1_ASM1339603v1_genomic.fna,749,745,8,1
GCA_024761695.1_ASM2476169v1_genomic.fna,721,124,25,12
GCA_026184415.1_ASM2618441v1_genomic.fna,749,748,2,7
GCA_003704595.1_ASM370459v1_genomic.fna,695,175,47,16
GCA_011763955.1_ASM1176395v1_genomic.fna,712,542,21,25
GCA_042258045.1_ASM4225804v1_genomic.fna,746,741,3,9
GCA_030512325.1_ASM3051232v1_genomic.fna,753,749,3,2
GCA_022831535.1_ASM2283153v1_genomic.fna,746,744,6,6
GCA_020568935.1_ASM2056893v1_genomic.fna,747,745,6,5
GCA_001702695.2_ASM170269v2_genomic.fna,751,746,1,6
GCA_911174965.1_Psal_CBS135396_genomic.fna,747,744,1,10
GCA_022813765.1_ASM2281376v1_genomic.fna,752,750,4,2
GCA_022831685.1_ASM2283168v1_genomic.fna,745,743,5,8
GCA_036244875.1_ASM3624487v1_genomic.fna,680,680,18,60
GCA_003367865.1_YarliYB392_genomic.fna,743,742,3,12
GCA_041121685.1_ASM4112168v1_genomic.fna,724,711,3,31
GCA_000875795.1_Cryp_gatt_CA1014_V1_genomic.fna,714,714,9,35
GCA_020567955.1_ASM2056795v1_genomic.fna,747,745,6,5
GCA_020581155.1_ASM2058115v1_genomic.fna,746,744,7,5
GCA_025328985.1_ASM2532898v1_genomic.fna,747,745,3,8
GCA_023137705.1_ASM2313770v1_genomic.fna,749,746,1,8
GCA_000616865.1_Tric_soud_CBS_452_61_V1_genomic.fna,746,742,4,8
GCA_002083735.1_Rhimi_ATCC11559_1_genomic.fna,735,691,6,17
GCA_032884055.1_ASM3288405v1_genomic.fna,746,741,3,9
GCA_949124925.1_BTE_collapsed.nuclear_genome.ScRAP_genomic.fna,730,713,2,26
GCA_003615115.1_Fo_A13_v1_genomic.fna,748,744,3,7
GCA_022830845.1_ASM2283084v1_genomic.fna,747,745,4,7
GCA_000190195.1_ScAWRI796_v01_genomic.fna,615,600,60,83
GCA_020569235.1_ASM2056923v1_genomic.fna,746,744,7,5
GCA_001895945.1_ASM189594v1_genomic.fna,713,709,15,30
GCA_029990865.1_CRL.nuclear_genome_genomic.fna,732,715,2,24
GCA_004379715.1_Crula1_genomic.fna,740,729,3,15
GCA_027595895.1_Xylaria_curta_enz_genomic.fna,524,513,98,136
GCA_003144125.1_Tescy1_genomic.fna,727,713,6,25
GCA_020501555.1_ASM2050155v1_genomic.fna,748,747,5,5
GCA_027596065.1_ASM2759606v1_genomic.fna,511,431,57,190
GCA_003947045.1_NRRL20438v1_genomic.fna,748,744,2,8
GCA_024244255.1_ASM2424425v1_genomic.fna,751,749,3,4
GCA_010093585.1_Melpu1_genomic.fna,750,743,2,6
GCA_013364935.1_ASM1336493v1_genomic.fna,750,746,4,4
GCA_030407065.1_Armnab1_genomic.fna,721,708,7,30
GCA_002938355.1_ASM293835v1_genomic.fna,713,709,15,30
GCA_004155935.1_ASM415593v1_genomic.fna,741,737,6,11
GCA_024762005.1_ASM2476200v1_genomic.fna,610,243,97,51
GCA_024761105.1_ASM2476110v1_genomic.fna,725,84,20,13
GCA_020501785.1_ASM2050178v1_genomic.fna,745,744,7,6
GCA_015852335.1_UCR_MchalNRRL2769_1.0_genomic.fna,704,650,20,34
GCA_001272575.2_ASM127257v2_genomic.fna,740,736,9,9
GCA_014898675.1_191101_athtb5_1.0_genomic.fna,740,225,7,11
GCA_027577295.1_UCR_CoemRSA986_1.0_genomic.fna,685,674,14,59
GCA_020500905.1_ASM2050090v1_genomic.fna,745,744,6,7
GCA_011763645.1_ASM1176364v1_genomic.fna,732,306,12,14
GCA_020647635.1_ASM2064763v1_genomic.fna,723,719,20,15
GCA_030512285.1_Cernew1_genomic.fna,747,744,1,10
GCA_029991225.1_BMC_2a.nuclear_genome_genomic.fna,734,717,1,23
GCA_001720235.1_Cryp_amyl_CBS6273_V2_genomic.fna,711,708,11,36
GCA_016098155.1_UCR_MambBC1055_1.0_genomic.fna,732,719,7,19
GCA_000977865.2_Sc_YJM1439_v1_genomic.fna,731,714,1,26
GCA_020501935.1_ASM2050193v1_genomic.fna,748,747,5,5
GCA_029590635.1_Boeremia_exigua_reassambly_v1_genomic.fna,566,565,38,154
GCA_003073855.1_Perma1_genomic.fna,751,745,2,5
GCA_025435555.1_Chyhya1_genomic.fna,593,456,40,125
GCA_016098035.1_UCR_MspGBA30_1.0_genomic.fna,724,663,13,21
GCA_024867555.1_ASM2486755v1_genomic.fna,748,742,2,8
GCA_026319125.1_ASM2631912v1_genomic.fna,746,741,3,9
GCA_020499325.1_ASM2049932v1_genomic.fna,744,743,8,6
GCA_020502325.1_ASM2050232v1_genomic.fna,746,745,6,6
GCA_020572945.1_ASM2057294v1_genomic.fna,746,744,7,5
GCA_001723175.3_ASM172317v3_genomic.fna,743,741,6,9
GCA_947243795.1_Suva-ZP964_genomic.fna,732,714,1,25
GCA_025890175.1_ASM2589017v1_genomic.fna,750,748,2,6
GCA_019207435.1_ASM1920743v1_genomic.fna,724,723,5,29
GCA_004798825.1_ASM479882v1_genomic.fna,744,742,3,11
GCA_014621375.1_ASM1462137v1_genomic.fna,751,747,4,3
GCA_000976335.2_Sc_YJM689_v1_genomic.fna,729,712,1,28
GCA_002901185.1_ASM290118v1_genomic.fna,740,737,9,9
GCA_949123975.1_BBF_HP2.nuclear_genome.ScRAP_genomic.fna,724,706,1,33
GCA_015679645.1_UCR_MvertTTC192_1.0_genomic.fna,690,644,26,42
GCA_007825345.1_CFIA_Lsue_EG2017_genomic.fna,705,701,33,20
GCA_041956545.1_Thefe1_genomic.fna,714,713,20,24
GCA_020499505.1_ASM2049950v1_genomic.fna,743,742,9,6
GCA_040256855.1_ASM4025685v1_genomic.fna,513,510,25,220
GCA_013368325.1_LU_COA_1.0_genomic.fna,735,721,6,17
GCA_040209185.1_Phybl_L51_1_genomic.fna,733,646,7,18
GCA_007825325.1_CFIA_Lcer_EG2017_genomic.fna,733,729,14,11
GCA_027945245.1_F_irr_CF00143_genomic.fna,750,747,0,8
GCA_022495115.1_Xylcas124033_1_genomic.fna,746,743,0,12
GCA_014281935.1_ASM1428193v1_genomic.fna,731,728,11,16
GCA_003367845.1_YarliYB567_genomic.fna,743,742,3,12
GCA_020580155.1_ASM2058015v1_genomic.fna,746,744,7,5
GCA_041121415.1_ASM4112141v1_genomic.fna,717,704,8,33
GCA_000315665.1_PdigPHI26_v1_genomic.fna,749,746,2,7
GCA_015529785.1_UCR_MvertNRRL2611_1.0_genomic.fna,707,660,18,33
GCA_019924355.1_ASM1992435v1_genomic.fna,641,251,78,39
GCA_009193505.1_Asptra1_genomic.fna,746,740,3,9
GCA_011066735.1_ASM1106673v1_genomic.fna,747,746,5,6
GCA_038381155.1_Phcap1_genomic.fna,757,749,1,0
GCA_004367935.1_ASM436793v1_genomic.fna,746,744,2,10
GCA_002105025.1_Cloaq1_genomic.fna,718,717,16,24
GCA_020502495.1_ASM2050249v1_genomic.fna,745,744,7,6
GCA_015341985.1_ASM1534198v1_genomic.fna,713,706,5,40
GCA_020571965.1_ASM2057196v1_genomic.fna,747,745,6,5
GCA_027602005.1_ASM2760200v1_genomic.fna,675,661,16,67
GCA_022831055.1_ASM2283105v1_genomic.fna,747,745,5,6
GCA_020500455.1_ASM2050045v1_genomic.fna,744,743,6,8
GCA_030462675.1_ASM3046267v1_genomic.fna,673,672,20,65
GCA_004917815.1_ASM491781v1_genomic.fna,753,752,2,3
GCA_947370275.1_BDF_1d.nuclear_genome_genomic.fna,733,715,1,24
GCA_019924465.1_ASM1992446v1_genomic.fna,619,204,99,40
GCA_947370175.1_AVI_1a.nuclear_genome_genomic.fna,733,716,1,24
GCA_003073865.1_Cadsp1_genomic.fna,754,749,1,3
GCA_041121705.1_ASM4112170v1_genomic.fna,724,711,3,31
GCA_035926885.1_ASM3592688v1_genomic.fna,749,747,1,8
GCA_022830545.1_ASM2283054v1_genomic.fna,744,742,7,7
GCA_000978315.2_Sc_YJM1592_v1_genomic.fna,732,715,1,25
GCA_004324935.1_Ordospora_GBEP_v1_genomic.fna,166,164,24,568
GCA_004325075.1_ILG3_v1_genomic.fna,155,103,41,562
GCA_015179035.1_Tirniv1_genomic.fna,746,731,4,8
GCA_020501325.1_ASM2050132v1_genomic.fna,748,747,5,5
GCA_009728665.1_ASM972866v1_genomic.fna,752,750,1,5
GCA_014904985.1_Hydru2_genomic.fna,723,715,15,20
GCA_900010015.1_PRJEB11238_BCW_v1_genomic.fna,737,730,5,16
GCA_022496215.1_Rusbre1_genomic.fna,702,593,11,45
GCA_024704515.1_ASM2470451v1_genomic.fna,742,740,8,8
GCA_002222155.1_Cryp_neof_grubii_cng11_V1_genomic.fna,699,697,8,51
GCA_022814315.1_ASM2281431v1_genomic.fna,722,721,16,20
GCA_003614735.1_Thasp1_genomic.fna,495,487,76,187
GCA_000350365.1_Foc4_1.0_genomic.fna,746,739,6,6
GCA_949124235.1_ADE.nuclear_genome.ScRAP_genomic.fna,733,716,1,24
GCA_022830095.1_ASM2283009v1_genomic.fna,746,744,4,8
GCA_003704385.1_ASM370438v1_genomic.fna,713,158,33,12
GCA_949124185.1_ANE.nuclear_genome.ScRAP_genomic.fna,733,716,1,24
GCA_035930205.1_ASM3593020v1_genomic.fna,572,554,120,66
GCA_022831835.1_ASM2283183v1_genomic.fna,747,745,4,7
GCA_947370255.1_BAI_1a.nuclear_genome_genomic.fna,733,716,1,24
GCA_023137835.1_ASM2313783v1_genomic.fna,749,747,1,8
GCA_911174985.1_Pnal_DTO259-D5_genomic.fna,749,744,0,9
GCA_000151525.2_P_triticina_1_1_V2_genomic.fna,650,627,28,80
GCA_020499715.1_ASM2049971v1_genomic.fna,747,746,5,6
GCA_001692895.1_Cenococcum_geophilum_1.58_v2.0_genomic.fna,753,741,3,2
GCA_016584185.1_ASM1658418v1_genomic.fna,719,707,3,36
GCA_000697645.1_Galma1_genomic.fna,731,719,6,21
GCA_013054445.1_ASM1305444v1_genomic.fna,721,715,22,15
GCA_022830515.1_ASM2283051v1_genomic.fna,747,745,4,7
GCA_019924995.1_ASM1992499v1_genomic.fna,713,59,32,13
GCA_035928425.1_ASM3592842v1_genomic.fna,753,752,3,2
GCA_964291815.1_UMBE_WA70503_genomic.fna,729,703,9,20
GCA_033630665.1_ASM3363066v1_genomic.fna,752,33,3,3
GCA_045820835.1_ASM4582083v1_genomic.fna,747,746,4,7
GCA_023510055.1_ASM2351005v1_genomic.fna,710,709,9,39
GCA_019207415.1_ASM1920741v1_genomic.fna,723,722,6,29
GCA_949610715.1_HO020003_genomic.fna,463,462,51,244
GCA_029990885.1_CLN.nuclear_genome_genomic.fna,731,714,1,26
GCA_022180345.1_Fl_assembly_01_genomic.fna,748,745,3,7
GCA_013201785.1_ASM1320178v1_genomic.fna,746,743,4,8
GCA_000530735.1_Z_bailii_ISA1307_version_3_genomic.fna,744,19,1,13
GCA_008636195.1_ASM863619v1_genomic.fna,721,710,16,21
GCA_900096505.1_version_1_genomic.fna,750,745,1,7
GCA_009428365.1_AAFC_TiDAOMC236414_1_genomic.fna,629,625,42,87
GCA_025094145.1_Spifus1_genomic.fna,700,655,7,51
GCA_000691885.1_Aspergillus_oryzae_100-8_genomic.fna,745,731,5,8
GCA_000616945.1_Tric_rubr_MR1459_V1_genomic.fna,745,741,5,8
GCA_949124615.1_ATM_1a.nuclear_genome.ScRAP_genomic.fna,733,716,1,24
GCA_000976125.2_Sc_YJM541_v1_genomic.fna,733,715,1,24
GCA_911150065.1_Pols_CBS266.97_genomic.fna,749,746,3,6
GCA_011947395.2_ASM1194739v2_genomic.fna,752,750,2,4
GCA_020575355.1_ASM2057535v1_genomic.fna,746,744,7,5
GCA_030142165.1_ASM3014216v1_genomic.fna,743,734,2,13
GCA_011058895.1_ASM1105889v1_genomic.fna,750,748,2,6
GCA_023141315.1_ASM2314131v1_genomic.fna,746,744,3,9
GCA_030462685.1_ASM3046268v1_genomic.fna,672,670,23,63
GCA_011952115.2_ASM1195211v2_genomic.fna,709,540,21,28
GCA_022495175.1_Hyparg1_genomic.fna,745,742,2,11
GCA_038362935.1_ASM3836293v1_genomic.fna,753,751,4,1
GCA_002111425.1_ASM211142v1_genomic.fna,750,744,4,4
GCA_000190615.1_Nema_parisii_ERTm3_V1_genomic.fna,143,143,43,572
GCA_028026945.1_ASM2802694v1_genomic.fna,729,728,3,26
GCA_011058875.1_ASM1105887v1_genomic.fna,753,752,0,5
GCA_020570345.1_ASM2057034v1_genomic.fna,747,745,6,5
GCA_964022775.1_CPARSMI706_genomic.fna,723,717,6,29
GCA_028828255.1_ASM2882825v1_genomic.fna,739,737,11,8
GCA_029991855.1_CDG_1a.nuclear_genome_genomic.fna,733,716,1,24
GCA_015039365.1_Amarub1_genomic.fna,735,393,2,21
GCA_022578765.1_XylFL0933_genomic.fna,745,743,0,13
GCA_021399455.1_FlaPMI526_1_genomic.fna,717,449,9,32
GCA_949122205.1_BBT_HP.nuclear_genome.ScRAP_genomic.fna,733,18,1,24
GCA_040143865.1_ASM4014386v1_genomic.fna,749,748,1,8
GCA_003549995.1_ASM354999v1_genomic.fna,712,699,12,34
GCA_011952145.2_ASM1195214v2_genomic.fna,709,535,19,30
GCA_040437605.1_USDA_MceGH76_1.0_genomic.fna,705,692,24,29
GCA_020499995.1_ASM2049999v1_genomic.fna,744,743,6,8
GCA_000003525.2_BD_ER3_V1_genomic.fna,745,743,5,8
GCA_020499265.1_ASM2049926v1_genomic.fna,747,746,6,5
GCA_022598625.1_ASM2259862v1_genomic.fna,743,740,1,14
GCA_030035955.1_CNT_collapsed.nuclear_genome_genomic.fna,726,708,3,29
GCA_001913855.2_ASM191385v2_genomic.fna,746,741,4,8
GCA_022385655.1_Xylint1_genomic.fna,745,742,3,10
GCA_028829005.1_ASM2882900v1_genomic.fna,748,745,1,9
GCA_949124555.1_BLD_1a.nuclear_genome.ScRAP_genomic.fna,733,716,1,24
GCA_029618205.1_ASM2961820v1_genomic.fna,747,746,4,7
GCA_026025075.1_ASM2602507v1_genomic.fna,745,743,2,11
GCA_949124425.1_AMM_1a.nuclear_genome.ScRAP_genomic.fna,733,717,1,24
GCA_022578505.1_Nemabo1_genomic.fna,741,738,4,13
GCA_947370245.1_ABA.nuclear_genome_genomic.fna,731,713,3,24
GCA_001592805.2_ASM159280v2_genomic.fna,746,745,3,9
GCA_004154915.1_ASM415491v1_genomic.fna,745,741,5,8
GCA_017639385.1_ASM1763938v1_genomic.fna,741,740,5,12
GCA_012932015.1_ASM1293201v1_genomic.fna,751,748,3,4
GCA_015679415.1_UCR_MalpAD072_1.0_genomic.fna,731,675,13,14
GCA_025201675.1_Cunech1_genomic.fna,718,675,16,24
GCA_038497665.1_Lipkon1_genomic.fna,722,716,21,15
GCA_010099065.1_ASM1009906v1_genomic.fna,748,745,3,7
GCA_038364125.1_ASM3836412v1_genomic.fna,740,739,10,8
GCA_011763605.1_ASM1176360v1_genomic.fna,610,539,74,74
GCA_001578235.1_ASM157823v1_genomic.fna,755,752,1,2
GCA_002215765.1_Cryp_neof_AD1_83a_V1_genomic.fna,705,703,7,46
GCA_000977325.2_Sc_YJM1356_v1_genomic.fna,733,716,1,24
GCA_024761515.1_ASM2476151v1_genomic.fna,714,269,34,10
GCA_011763935.1_ASM1176393v1_genomic.fna,709,540,22,27
GCA_029378245.1_Rorror1_genomic.fna,735,439,4,19
GCA_000750745.1_DG6_genomic.fna,710,710,34,14
GCA_009193605.1_Aspalbe1_genomic.fna,747,744,2,9
GCA_030411865.1_ASM3041186v1_genomic.fna,753,25,1,4
GCA_016801405.1_ASM1680140v1_genomic.fna,747,745,6,5
GCA_030062345.1_Pva_DTO32I4_1_genomic.fna,749,743,2,7
GCA_027578795.1_UCR_CoemRSA1797_1.0_genomic.fna,485,475,97,176
GCA_012656165.1_ASM1265616v1_genomic.fna,739,738,10,9
GCA_020568635.1_ASM2056863v1_genomic.fna,747,745,6,5
GCA_000976515.2_Sc_YJM981_v1_genomic.fna,733,716,1,24
GCA_004917115.1_ASM491711v1_genomic.fna,645,644,69,44
GCA_010015785.1_Sacpr1_genomic.fna,753,751,2,3
GCA_023848595.1_ASM2384859v1_genomic.fna,752,751,2,4
GCA_028974015.1_ASM2897401v1_genomic.fna,745,739,5,8
GCA_000827315.1_Piloderma_croceum_F_1598_v1.0_genomic.fna,720,708,12,26
GCA_000977775.3_Sc_YJM1419_v1_genomic.fna,733,716,1,24
GCA_027578355.1_UCR_CoemRSA2320_1.0_genomic.fna,602,593,60,96
GCA_019157295.1_ASM1915729v1_genomic.fna,749,745,3,6
GCA_000825705.1_Allpaths-LG_genomic.fna,752,747,1,5
GCA_003013795.1_ASM301379v1_genomic.fna,747,746,4,7
GCA_004917435.1_ASM491743v1_genomic.fna,752,750,2,4
GCA_027919855.1_LboET3784_1_genomic.fna,724,717,14,20
GCA_024704055.1_ASM2470405v1_genomic.fna,742,740,8,8
GCA_002222115.1_Cryp_neof_grubii_cng5_V1_genomic.fna,699,697,11,48
GCA_024703665.1_ASM2470366v1_genomic.fna,740,738,8,10
GCA_026229875.1_ASM2622987v1_genomic.fna,746,735,3,9
GCA_027578515.1_UCR_CoemRSA1935_1.0_genomic.fna,551,542,84,123
GCA_020499045.1_ASM2049904v1_genomic.fna,744,743,7,7
GCA_002794465.1_KSL3_v6_genomic.fna,415,410,51,292
GCA_949121775.1_AIF_HP2.nuclear_genome.ScRAP_genomic.fna,702,684,2,54
GCA_000977535.2_Sc_YJM1389_v1_genomic.fna,733,716,1,24
GCA_019924135.1_ASM1992413v1_genomic.fna,584,293,113,61
GCA_009498075.1_ASM949807v1_genomic.fna,727,725,4,27
GCA_030036455.2_CPS_HP.nuclear_genome_genomic.fna,648,27,2,108
GCA_949124825.1_BAG_1a.nuclear_genome.ScRAP_genomic.fna,732,715,1,25
GCA_027886345.1_LraINPA1820_1_genomic.fna,722,717,15,21
GCA_027575545.1_UCR_CoemRSA1591_1.0_genomic.fna,555,540,77,126
GCA_021525775.1_Lacdel1_genomic.fna,724,378,10,24
GCA_000827485.1_Amanita_muscaria_Koide_BX008_v1.0_genomic.fna,723,717,15,20
GCA_018360575.1_CSU_LM454_v1_genomic.fna,739,733,12,7
GCA_022836595.1_Ctol_6.0_genomic.fna,694,693,32,32
GCA_020578095.1_ASM2057809v1_genomic.fna,747,745,6,5
GCA_025433565.1_ASM2543356v1_genomic.fna,750,742,2,6
GCA_001651445.1_CMCC_F_T1i_genomic.fna,747,743,4,7
GCA_011762625.1_ASM1176262v1_genomic.fna,736,692,5,17
GCA_004917925.1_ASM491792v1_genomic.fna,688,687,13,57
GCA_038362655.1_ASM3836265v1_genomic.fna,739,735,11,8
GCA_026937265.1_CoeloLatMeio_1.0_UCR_genomic.fna,344,339,120,294
GCA_024243875.1_npar_LUAm12_genomic.fna,155,155,34,569
GCA_027575745.1_UCR_CoemRSA2703_1.0_genomic.fna,391,325,131,236
GCA_015844325.1_ASM1584432v1_genomic.fna,749,748,2,7
GCA_020498865.1_ASM2049886v1_genomic.fna,745,744,6,7
GCA_004918505.1_ASM491850v1_genomic.fna,751,749,3,4
GCA_027576915.1_UCR_DiacNRRL2925_1.0_genomic.fna,588,583,48,122
GCA_025677835.1_Spoumb1_genomic.fna,703,624,9,46
GCA_030267545.1_ASM3026754v1_genomic.fna,727,712,3,28
GCA_041438085.1_Schco2271_1_genomic.fna,711,705,22,25
GCA_004156015.1_ASM415601v1_genomic.fna,751,748,3,4
GCA_009498115.1_ASM949811v1_genomic.fna,728,726,4,26
GCA_029542945.1_ASM2954294v1_genomic.fna,705,704,14,39
GCA_013305805.1_LMA-1147_v2_genomic.fna,749,693,1,8
GCA_037213105.1_ASM3721310v1_genomic.fna,747,745,2,9
GCA_027579505.1_UCR_CoguNRRL1565_1.0_genomic.fna,537,513,103,118
GCA_015951145.1_Croqu1_genomic.fna,671,666,21,66
GCA_000835815.1_Cryp_gatt_2001_935-1_V1_genomic.fna,714,714,11,33
GCA_019633485.1_Tulasn425_1.0_genomic.fna,696,686,31,31
GCA_002871155.1_ASM287115v1_genomic.fna,752,750,2,4
GCA_027923925.1_AtubIFM61612_1.0_genomic.fna,750,747,4,4
GCA_002007995.1_ASM200799v1_genomic.fna,704,702,11,43
GCA_011763475.1_ASM1176347v1_genomic.fna,735,692,5,18
GCA_022749175.1_ASM2274917v1_genomic.fna,731,728,9,18
GCA_004918625.1_ASM491862v1_genomic.fna,680,679,13,65
GCA_020580655.1_ASM2058065v1_genomic.fna,746,744,7,5
GCA_029990665.1_ALS_1a.nuclear_genome_genomic.fna,733,716,1,24
GCA_027578535.1_UCR_CoemRSA1933_1.0_genomic.fna,631,626,53,74
GCA_900519155.1_U_bromivora_v1_genomic.fna,734,731,6,18
GCA_020500305.1_ASM2050030v1_genomic.fna,747,746,6,5
GCA_015852385.1_UCR_MclonAM1000_1.0_genomic.fna,717,651,12,29
GCA_024195175.2_BUUCAGL_2022_genomic.fna,724,712,3,31
GCA_911175165.1_Pnal_ESE00267_genomic.fna,748,742,0,10
GCA_020572955.1_ASM2057295v1_genomic.fna,746,744,7,5
GCA_003615035.1_Caupr_SCcomb_genomic.fna,193,191,64,501
GCA_003025155.1_Trilo3_genomic.fna,666,665,37,55
GCA_041956735.1_Aurpu1_genomic.fna,749,748,5,4
GCA_002120305.1_HypCO275_v1.0_genomic.fna,751,750,1,6
GCA_027595885.1_ASM2759588v1_genomic.fna,380,374,39,339
GCA_041121425.1_ASM4112142v1_genomic.fna,724,711,3,31
GCA_024761495.1_ASM2476149v1_genomic.fna,752,751,3,3
GCA_025558095.1_Hyacur1_genomic.fna,562,559,62,134
GCA_027575765.1_UCR_TipaRSA861_1.0_genomic.fna,660,158,25,73
GCA_903987035.1_KABA1BIS_genomic.fna,727,712,2,29
GCA_949124045.1_AGK.nuclear_genome.ScRAP_genomic.fna,733,716,1,24
GCA_027575675.1_UCR_CoemRSA990_1.0_genomic.fna,679,664,14,65
GCA_040207205.1_USDA_MteMS2_1.0_genomic.fna,731,718,8,19
GCA_002222465.1_Cryp_neof_Bt120_V1_genomic.fna,704,702,7,47
GCA_026008595.1_LshimejAT787_genomic.fna,736,730,8,14
GCA_027578175.1_UCR_CoemRSA2531_1.0_genomic.fna,303,296,165,290
GCA_921293635.1_cclaro_assembly3_genomic.fna,676,595,31,51
GCA_014235945.1_CPLU01_genomic.fna,751,749,1,6
GCA_019359905.1_Cafric_001_genomic.fna,605,601,6,147
GCA_035927165.1_ASM3592716v1_genomic.fna,754,753,1,3
GCA_020744185.1_Morel_U14_1_genomic.fna,724,649,5,29
GCA_000956085.1_ASM95608v1_genomic.fna,747,741,3,8
GCA_000836255.1_fungal_sp._No.11243_ver1.0_genomic.fna,747,745,5,6
GCA_000976905.2_Sc_YJM1248_v1_genomic.fna,728,712,1,29
GCA_028827645.1_ASM2882764v1_genomic.fna,711,708,25,22
GCA_022831175.1_ASM2283117v1_genomic.fna,747,745,5,6
GCA_023134355.1_ASM2313435v1_genomic.fna,747,745,1,10
GCA_020577915.1_ASM2057791v1_genomic.fna,747,745,6,5
GCA_964022755.1_CPARSMI596_genomic.fna,706,701,17,35
GCA_038381195.1_Pcapi1_genomic.fna,756,755,1,1
GCA_012184655.1_IPPP_Chae_K2.1_genomic.fna,726,724,4,28
GCA_020499915.1_ASM2049991v1_genomic.fna,747,746,5,6
GCA_949124665.1_BFP_1a.nuclear_genome.ScRAP_genomic.fna,733,716,1,24
GCA_004917255.1_ASM491725v1_genomic.fna,752,751,2,4
GCA_903819635.1_AWRI4619_genomic.fna,751,749,0,7
GCA_027577745.1_UCR_CoemRSA355_1.0_genomic.fna,565,551,64,129
GCA_900100905.1_MvSof1_genomic.fna,686,682,11,61
GCA_004918635.1_ASM491863v1_genomic.fna,688,687,14,56
GCA_020502245.1_ASM2050224v1_genomic.fna,746,745,6,6
GCA_903819135.2_Y55_Assembly_v2_genomic.fna,731,713,2,25
GCA_000167075.2_Saccharomyces_kudriavzevii_strain_IFO1802_v1.0_genomic.fna,554,541,88,116
GCA_001660665.1_Emmo_afri_EA111_genomic.fna,688,681,32,38
GCA_020500645.1_ASM2050064v1_genomic.fna,744,743,7,7
GCA_949124355.1_ABA.nuclear_genome.ScRAP_genomic.fna,731,713,3,24
GCA_020499685.1_ASM2049968v1_genomic.fna,747,746,5,6
