Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	ANI Check status	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCA_009498055.1	ASM949805v1	Clavispora lusitaniae	36911			P1					Annotation submitted by University of Lausanne	Complete Genome	2019-11-04		8
GCA_009498135.1	ASM949813v1	Clavispora lusitaniae	36911			P4					Annotation submitted by University of Lausanne	Complete Genome	2019-11-04		8
GCA_009498075.1	ASM949807v1	Clavispora lusitaniae	36911			P2					Annotation submitted by University of Lausanne	Complete Genome	2019-11-04		8
GCA_009498115.1	ASM949811v1	Clavispora lusitaniae	36911			P5					Annotation submitted by University of Lausanne	Complete Genome	2019-11-04		8
GCA_009498095.1	ASM949809v1	Clavispora lusitaniae	36911			P3					Annotation submitted by University of Lausanne	Complete Genome	2019-11-04		8
GCA_027557585.1	ASM2755758v1	Saccharomyces uvarum	230603			CBS7001					Annotation submitted by University of Rochester	Complete Genome	2023-01-03		16
GCA_947243805.1	Suva-CBS7001	Saccharomyces uvarum	230603			CBS7001					Annotation submitted by UNIVERSITY COLLEGE DUBLIN	Complete Genome	2022-11-01		16
GCA_017310585.1	ASM1731058v1	Histoplasma capsulatum	5037			WU24					Annotation submitted by University of California, San Francisco	Complete Genome	2021-03-09		7
GCA_017355575.1	ASM1735557v1	Histoplasma capsulatum G186AR	447093			G186AR					Annotation submitted by University of California, San Francisco	Complete Genome	2021-03-09		6
GCA_017310615.1	ASM1731061v1	Histoplasma capsulatum var. duboisii H88	544711			H88					Annotation submitted by University of California, San Francisco	Complete Genome	2021-03-09		6
GCA_026914245.1	ASM2691424v1	Puccinia triticina	208348			Pt15					Annotation submitted by Henan Agricultural University	Complete Genome	2022-12-15		18
GCA_016865315.1	AluchuensisRIB2601_assembly01	Aspergillus luchuensis	1069201			RIB2601					Annotation submitted by Fermentation Microbiology, Education and Research Center for Fermentation Studies, Faculty of Agriculture, Kagoshima University	Complete Genome	2021-01-30		8
GCA_036428525.1	ASM3642852v1	Cryptococcus gattii	37769			WM276					Annotation submitted by Broad Institute	Complete Genome	2024-02-07		14
GCA_020647635.1	ASM2064763v1	Trichoderma virens	29875			Gv29-8					Annotation submitted by Academia Sinica	Complete Genome	2021-10-27		7
GCA_018416015.2	ASM1841601v2	Coccidioides posadasii str. Silveira	443226			Silveira					Annotation submitted by Northern Arizona University	Complete Genome	2022-02-01		9
GCA_020647705.1	ASM2064770v1	Trichoderma virens FT-333	1331945			FT-333					Annotation submitted by Academia Sinica	Complete Genome	2021-10-27		7
GCA_016952305.1	ASM1695230v1	Fusarium pseudograminearum	101028			Class2-1C					Annotation submitted by Chinese Academy of Forestry	Complete Genome	2020-11-16		4
GCA_946405395.1	Wolfe_SeubUCD650	Saccharomyces eubayanus	1080349			UCD650					Annotation submitted by UNIVERSITY COLLEGE DUBLIN	Complete Genome	2022-08-27		16
GCA_946408725.1	Wolfe_SeubUCD646	Saccharomyces eubayanus	1080349			UCD646					Annotation submitted by UNIVERSITY COLLEGE DUBLIN	Complete Genome	2022-08-27		16
GCA_019332025.1	ASM1933202v1	Candidozyma haemuli	45357						CA3LBN		Annotation submitted by Charles University	Complete Genome	2021-07-23		7
GCA_963585935.1	CBHEV-1_hq-v2_chromosomes	Cercospora beticola	122368								Annotation submitted by eth zurich plant pathology	Complete Genome	2023-12-13		12
GCA_947243785.1	Skud-ZP591	Saccharomyces kudriavzevii ZP591	1165456			ZP591					Annotation submitted by UNIVERSITY COLLEGE DUBLIN	Complete Genome	2022-11-01		16
GCA_027571585.1	ASM2757158v1	Encephalitozoon cuniculi	6035			ATCC 50602					Annotation submitted by Illinois Institute of Technology	Complete Genome	2023-01-05		11
GCA_046056315.1	ASM4605631v1	Fusarium poae	36050			Fp133					Annotation submitted by Agriculture and Agri-Foods Canada	Complete Genome	2024-12-17	JBJHSE01	6
GCA_000968835.1	ASM96883v1	Eremothecium gossypii FDAG1	1034331			FDAG1					Annotation submitted by Biozentrum, University of Basel, Switzerland	Complete Genome	2012-01-27		7
GCA_034268455.1	ASM3426845v1	Fulvia fulva	5499			2 4 9 11					Annotation submitted by University of California	Complete Genome	2023-12-11		14
GCA_034269425.1	ASM3426942v1	Fulvia fulva	5499			2 4 5 9 11 IPO					Annotation submitted by University of California	Complete Genome	2023-12-11		14
GCA_046000195.1	Awentii_warwick	Aspergillus wentii	5066			CBS141173					Annotation submitted by University of Warwick	Complete Genome	2024-11-07		7
GCA_900149145.1	Msy_ATCC_42132_Feb2016	Malassezia sympodialis ATCC 42132	1230383			ATCC 42132					Annotation submitted by SCIENCE FOR LIFE LABORATORY	Complete Genome	2017-01-09		8
GCA_022749175.1	ASM2274917v1	Ustilago hordei	120017			Uh805					Annotation submitted by University of Cologne	Complete Genome	2022-03-29		23
GCA_024399255.1	ASM2439925v1	Encephalitozoon hellem	27973			ATCC 50604					Annotation submitted by Illinois Institute of Technology	Complete Genome	2022-07-25		11
GCA_029215505.1	ASM2921550v1	Encephalitozoon hellem	27973			ATCC 50451					Annotation submitted by Illinois Institute of Technology	Complete Genome	2023-03-15		11
GCA_024399295.1	ASM2439929v1	Encephalitozoon intestinalis	58839			ATCC 50506					Annotation submitted by Illinois Institute of Technology	Complete Genome	2022-07-25		11
GCA_013694445.1	ASM1369444v1	Torulaspora globosa	48254			CBS2947					Annotation submitted by University College Dublin	Complete Genome	2020-07-26		8
GCA_001720245.2	ASM172024v2	Cryptococcus depauperatus	5208			CBS 7855					Annotation submitted by Department of Molecular Genetics and Microbiology, Duke University	Complete Genome	2024-02-22		8
GCA_030864445.1	ASM3086444v1	Cutaneotrichosporon cavernicola	279322			HIS641					Annotation submitted by Tokyo University of Agriculture	Complete Genome	2023-06-24		8
GCA_030864415.1	ASM3086441v1	Cutaneotrichosporon cavernicola	279322			HIS631					Annotation submitted by Tokyo University of Agriculture	Complete Genome	2023-06-24		7
GCA_030864325.1	ASM3086432v1	Cutaneotrichosporon cavernicola	279322			HIS002					Annotation submitted by Tokyo University of Agriculture	Complete Genome	2023-06-24		7
GCA_016906555.1	ASM1690655v1	Ceratobasidium sp. AG-Ba	170446			AG-Ba			LY		Annotation submitted by China Agricultural University	Complete Genome	2021-02-18		16
GCA_000149245.3	CNA3	Cryptococcus neoformans var. grubii H99	235443			H99					Annotation submitted by Broad Institute	Chromosome	2014-02-07		14
GCF_000149245.1	CNA3	Cryptococcus neoformans var. grubii H99	235443			H99					Annotation submitted by Broad Institute	Chromosome	2014-02-07		14
GCA_029226625.1	ASM2922662v1	Colletotrichum graminicola	31870						M1.001		Annotation submitted by University of Salamanca	Chromosome	2023-03-16		13
GCA_003691605.1	ASM369160v1	Malassezia restricta CBS 7877	425264			CBS 7877					Annotation submitted by L'Oreal	Chromosome	2018-10-29		9
GCA_900290415.1	version1	Podospora comata	48703			T					Annotation submitted by IED	Chromosome	2018-10-22		7
GCA_002571405.2	ASM257140v2	Saccharomyces cerevisiae	4932			CEN.PK113-7D; CBS 8340					Annotation submitted by Raul A. Ortiz-Merino	Chromosome	2020-01-02		17
GCA_000976005.2	Sc_YJM451_v1	Saccharomyces cerevisiae YJM451	502869			YJM451					Annotation submitted by Duke University	Chromosome	2017-01-23		17
GCA_000975915.3	Sc_YJM326_v1	Saccharomyces cerevisiae YJM326	468558			YJM326					Annotation submitted by Duke University	Chromosome	2017-01-23		17
GCA_905220325.1	ScPE_H3_f	Saccharomyces cerevisiae PE-2	1220494								Annotation submitted by INSTITUTE FOR MOLECULAR BIOSCIENCE, UNIVERSITY OF QUEENSLAND	Chromosome	2021-03-05		17
GCA_905220315.1	ScPE_H4_f	Saccharomyces cerevisiae PE-2	1220494								Annotation submitted by INSTITUTE FOR MOLECULAR BIOSCIENCE, UNIVERSITY OF QUEENSLAND	Chromosome	2021-02-16		18
GCA_000976215.2	Sc_YJM627_v1	Saccharomyces cerevisiae YJM627	1294317			YJM627					Annotation submitted by Duke University	Chromosome	2017-01-23		17
GCA_000975705.2	Sc_YJM1129_v1	Saccharomyces cerevisiae YJM1129	1293430			YJM1129					Annotation submitted by Duke University	Chromosome	2017-01-23		17
GCA_000975945.2	Sc_YJM428_v1	Saccharomyces cerevisiae YJM428	947044			YJM428					Annotation submitted by Duke University	Chromosome	2017-01-23		17
GCA_000975825.2	Sc_YJM270_v1	Saccharomyces cerevisiae YJM270	1294308			YJM270					Annotation submitted by Duke University	Chromosome	2017-01-23		16
GCA_000662435.2	Sc_YJM993_v1	Saccharomyces cerevisiae YJM993	1294331			YJM993					Annotation submitted by Duke University	Chromosome	2016-07-29		17
GCA_000977145.2	Sc_YJM1332_v1	Saccharomyces cerevisiae YJM1332	1294348			YJM1332					Annotation submitted by Duke University	Chromosome	2017-01-23		17
GCA_000976665.2	Sc_YJM996_v1	Saccharomyces cerevisiae YJM996	1294332			YJM996					Annotation submitted by Duke University	Chromosome	2016-11-18		17
GCA_000976875.3	Sc_YJM1244_v1	Saccharomyces cerevisiae YJM1244	1294339			YJM1244					Annotation submitted by Duke University	Chromosome	2017-01-23		17
GCA_000976455.3	Sc_YJM975_v1	Saccharomyces cerevisiae YJM975	1294325			YJM975					Annotation submitted by Duke University	Chromosome	2017-01-05		17
GCA_000977325.2	Sc_YJM1356_v1	Saccharomyces cerevisiae YJM1356	1294354			YJM1356					Annotation submitted by Duke University	Chromosome	2017-01-23		17
GCA_000975615.2	Sc_YJM244_v1	Saccharomyces cerevisiae YJM244	1294306			YJM244					Annotation submitted by Duke University	Chromosome	2016-11-18		17
GCA_000978075.3	Sc_YJM1477_v1	Saccharomyces cerevisiae YJM1477	1294379			YJM1477					Annotation submitted by Duke University	Chromosome	2017-01-23		17
GCA_000976845.3	Sc_YJM1242_v1	Saccharomyces cerevisiae YJM1242	1294338			YJM1242					Annotation submitted by Duke University	Chromosome	2017-01-23		17
GCA_000977175.3	Sc_YJM1336_v1	Saccharomyces cerevisiae YJM1336	1294349			YJM1336					Annotation submitted by Duke University	Chromosome	2017-01-23		17
GCA_000977355.3	Sc_YJM1381_v1	Saccharomyces cerevisiae YJM1381	1294355			YJM1381					Annotation submitted by Duke University	Chromosome	2017-01-23		17
GCA_000978015.2	Sc_YJM1460_v1	Saccharomyces cerevisiae YJM1460	1294377			YJM1460					Annotation submitted by Duke University	Chromosome	2017-01-23		16
GCA_000976515.2	Sc_YJM981_v1	Saccharomyces cerevisiae YJM981	1294327			YJM981					Annotation submitted by Duke University	Chromosome	2017-01-23		17
GCA_000976485.2	Sc_YJM978_v1	Saccharomyces cerevisiae YJM978	1294326			YJM978					Annotation submitted by Duke University	Chromosome	2017-01-23		17
GCA_000975735.4	Sc_YJM189_v1	Saccharomyces cerevisiae YJM189	1294303			YJM189					Annotation submitted by Duke University	Chromosome	2017-01-23		17
GCA_000977715.4	Sc_YJM1417_v1	Saccharomyces cerevisiae YJM1417	1294367			YJM1417					Annotation submitted by Duke University	Chromosome	2017-01-23		17
GCA_000976545.2	Sc_YJM984_v1	Saccharomyces cerevisiae YJM984	1294328			YJM984					Annotation submitted by Duke University	Chromosome	2017-01-23		17
GCA_000975975.3	Sc_YJM450_v1	Saccharomyces cerevisiae YJM450	1294310			YJM450					Annotation submitted by Duke University	Chromosome	2017-01-23		17
GCA_000977745.2	Sc_YJM1418_v1	Saccharomyces cerevisiae YJM1418	1294368			YJM1418					Annotation submitted by Duke University	Chromosome	2017-01-23		16
GCA_000977955.2	Sc_YJM1447_v1	Saccharomyces cerevisiae YJM1447	1294375			YJM1447					Annotation submitted by Duke University	Chromosome	2017-01-23		16
GCA_000976995.2	Sc_YJM1273_v1	Saccharomyces cerevisiae YJM1273	1294343			YJM1273					Annotation submitted by Duke University	Chromosome	2017-01-23		16
GCA_000978195.3	Sc_YJM1527_v1	Saccharomyces cerevisiae YJM1527	1294383			YJM1527					Annotation submitted by Duke University	Chromosome	2017-01-23		17
GCA_000977835.2	Sc_YJM1434_v1	Saccharomyces cerevisiae YJM1434	1294371			YJM1434					Annotation submitted by Duke University	Chromosome	2016-12-15		16
GCA_000978255.2	Sc_YJM1573_v1	Saccharomyces cerevisiae YJM1573	1294385			YJM1573					Annotation submitted by Duke University	Chromosome	2017-01-23		16
GCA_000976065.2	Sc_YJM456_v1	Saccharomyces cerevisiae YJM456	1294312			YJM456					Annotation submitted by Duke University	Chromosome	2016-11-18		17
GCA_000977475.3	Sc_YJM1387_v1	Saccharomyces cerevisiae YJM1387	1294359			YJM1387					Annotation submitted by Duke University	Chromosome	2016-12-15		16
GCA_000977655.2	Sc_YJM1402_v1	Saccharomyces cerevisiae YJM1402	1294365			YJM1402					Annotation submitted by Duke University	Chromosome	2017-01-23		16
GCA_000977055.4	Sc_YJM1307_v1	Saccharomyces cerevisiae YJM1307	1294345			YJM1307					Annotation submitted by Duke University	Chromosome	2017-01-23		17
GCA_000975765.2	Sc_YJM193_v1	Saccharomyces cerevisiae YJM193	1294304			YJM193					Annotation submitted by Duke University	Chromosome	2017-01-23		17
GCA_000977205.2	Sc_YJM1338_v1	Saccharomyces cerevisiae YJM1338	1294350			YJM1338					Annotation submitted by Duke University	Chromosome	2016-12-15		17
GCA_000976605.3	Sc_YJM990_v1	Saccharomyces cerevisiae YJM990	1294330			YJM990					Annotation submitted by Duke University	Chromosome	2017-01-23		17
GCA_000976425.2	Sc_YJM972_v1	Saccharomyces cerevisiae YJM972	1294324			YJM972					Annotation submitted by Duke University	Chromosome	2017-01-23		17
GCA_000977985.2	Sc_YJM1450_v1	Saccharomyces cerevisiae YJM1450	1294376			YJM1450					Annotation submitted by Duke University	Chromosome	2017-01-23		17
GCA_000976395.2	Sc_YJM969_v1	Saccharomyces cerevisiae YJM969	1294323			YJM969					Annotation submitted by Duke University	Chromosome	2017-01-05		17
GCA_000977565.2	Sc_YJM1399_v1	Saccharomyces cerevisiae YJM1399	1294362			YJM1399					Annotation submitted by Duke University	Chromosome	2017-01-23		16
GCA_000977685.2	Sc_YJM1415_v1	Saccharomyces cerevisiae YJM1415	1294366			YJM1415					Annotation submitted by Duke University	Chromosome	2017-01-06		17
GCA_000977505.2	Sc_YJM1388_v1	Saccharomyces cerevisiae YJM1388	1294360			YJM1388					Annotation submitted by Duke University	Chromosome	2016-12-15		16
GCA_000975675.2	Sc_YJM1083_v1	Saccharomyces cerevisiae YJM1083	1292971			YJM1083					Annotation submitted by Duke University	Chromosome	2017-01-05		17
GCA_000978135.2	Sc_YJM1479_v1	Saccharomyces cerevisiae YJM1479	1294381			YJM1479					Annotation submitted by Duke University	Chromosome	2017-01-05		17
GCA_000977445.2	Sc_YJM1386_v1	Saccharomyces cerevisiae YJM1386	1294358			YJM1386					Annotation submitted by Duke University	Chromosome	2017-01-23		17
GCA_000976035.2	Sc_YJM453_v1	Saccharomyces cerevisiae YJM453	1294311			YJM453					Annotation submitted by Duke University	Chromosome	2016-07-29		17
GCA_000976575.4	Sc_YJM987_v1	Saccharomyces cerevisiae YJM987	1294329			YJM987					Annotation submitted by Duke University	Chromosome	2017-01-05		17
GCA_000976335.2	Sc_YJM689_v1	Saccharomyces cerevisiae YJM689	1294321			YJM689					Annotation submitted by Duke University	Chromosome	2016-07-29		16
GCA_000975795.2	Sc_YJM248_v1	Saccharomyces cerevisiae YJM248	1294307			YJM248					Annotation submitted by Duke University	Chromosome	2017-01-05		17
GCA_000978285.2	Sc_YJM1574_v1	Saccharomyces cerevisiae YJM1574	1294386			YJM1574					Annotation submitted by Duke University	Chromosome	2017-01-23		17
GCA_000976965.3	Sc_YJM1252_v1	Saccharomyces cerevisiae YJM1252	1294342			YJM1252					Annotation submitted by Duke University	Chromosome	2017-01-23		16
GCA_000978105.2	Sc_YJM1478_v1	Saccharomyces cerevisiae YJM1478	1294380			YJM1478					Annotation submitted by Duke University	Chromosome	2016-12-15		17
GCA_000978165.2	Sc_YJM1526_v1	Saccharomyces cerevisiae YJM1526	1294382			YJM1526					Annotation submitted by Duke University	Chromosome	2017-01-23		17
GCA_000976365.2	Sc_YJM693_v1	Saccharomyces cerevisiae YJM693	1294322			YJM693					Annotation submitted by Duke University	Chromosome	2016-11-18		16
GCA_000977085.2	Sc_YJM1311_v1	Saccharomyces cerevisiae YJM1311	1294346			YJM1311					Annotation submitted by Duke University	Chromosome	2017-01-23		17
GCA_000977385.2	Sc_YJM1383_v1	Saccharomyces cerevisiae YJM1383	1294356			YJM1383					Annotation submitted by Duke University	Chromosome	2017-01-23		17
GCA_000977595.3	Sc_YJM1400_v1	Saccharomyces cerevisiae YJM1400	1294363			YJM1400					Annotation submitted by Duke University	Chromosome	2017-01-23		17
GCA_000978225.2	Sc_YJM1549_v1	Saccharomyces cerevisiae YJM1549	1294384			YJM1549					Annotation submitted by Duke University	Chromosome	2017-01-23		16
GCA_000976815.3	Sc_YJM1208_v1	Saccharomyces cerevisiae YJM1208	1294337			YJM1208					Annotation submitted by Duke University	Chromosome	2017-01-23		17
GCA_000977025.2	Sc_YJM1304_v1	Saccharomyces cerevisiae YJM1304	1294344			YJM1304					Annotation submitted by Duke University	Chromosome	2017-01-23		17
GCA_000976725.3	Sc_YJM1190_v1	Saccharomyces cerevisiae YJM1190	1294334			YJM1190					Annotation submitted by Duke University	Chromosome	2017-01-23		17
GCA_000976785.2	Sc_YJM1202_v1	Saccharomyces cerevisiae YJM1202	1294336			YJM1202					Annotation submitted by Duke University	Chromosome	2017-01-23		17
GCA_000977925.3	Sc_YJM1444_v1	Saccharomyces cerevisiae YJM1444	1294374			YJM1444					Annotation submitted by Duke University	Chromosome	2017-01-23		16
GCA_000976305.2	Sc_YJM683_v1	Saccharomyces cerevisiae YJM683	1294320			YJM683					Annotation submitted by Duke University	Chromosome	2017-01-23		16
GCA_000978315.2	Sc_YJM1592_v1	Saccharomyces cerevisiae YJM1592	1294387			YJM1592					Annotation submitted by Duke University	Chromosome	2017-01-23		16
GCA_000977415.2	Sc_YJM1385_v1	Saccharomyces cerevisiae YJM1385	1294357			YJM1385					Annotation submitted by Duke University	Chromosome	2017-01-23		16
GCA_000976755.2	Sc_YJM1199_v1	Saccharomyces cerevisiae YJM1199	1294335			YJM1199					Annotation submitted by Duke University	Chromosome	2017-01-23		17
GCA_000976275.4	Sc_YJM682_v1	Saccharomyces cerevisiae YJM682	1294319			YJM682					Annotation submitted by Duke University	Chromosome	2017-01-23		17
GCA_000977235.2	Sc_YJM1341_v1	Saccharomyces cerevisiae YJM1341	1294351			YJM1341					Annotation submitted by Duke University	Chromosome	2017-01-05		17
GCA_000976695.3	Sc_YJM1133_v1	Saccharomyces cerevisiae YJM1133	1294333			YJM1133					Annotation submitted by Duke University	Chromosome	2017-01-05		17
GCA_000977805.2	Sc_YJM1433_v1	Saccharomyces cerevisiae YJM1433	1294370			YJM1433					Annotation submitted by Duke University	Chromosome	2016-12-15		17
GCA_000977115.3	Sc_YJM1326_v1	Saccharomyces cerevisiae YJM1326	1294347			YJM1326					Annotation submitted by Duke University	Chromosome	2017-01-23		17
GCA_000976245.2	Sc_YJM681_v1	Saccharomyces cerevisiae YJM681	1294318			YJM681					Annotation submitted by Duke University	Chromosome	2017-01-23		17
GCA_000977895.3	Sc_YJM1443_v1	Saccharomyces cerevisiae YJM1443	1294373			YJM1443					Annotation submitted by Duke University	Chromosome	2017-01-23		16
GCA_000976935.2	Sc_YJM1250_v1	Saccharomyces cerevisiae YJM1250	1294341			YJM1250					Annotation submitted by Duke University	Chromosome	2017-01-05		17
GCA_000977535.2	Sc_YJM1389_v1	Saccharomyces cerevisiae YJM1389	1294361			YJM1389					Annotation submitted by Duke University	Chromosome	2017-01-05		16
GCA_000976905.2	Sc_YJM1248_v1	Saccharomyces cerevisiae YJM1248	1294340			YJM1248					Annotation submitted by Duke University	Chromosome	2016-11-18		16
GCA_000976155.4	Sc_YJM554_v1	Saccharomyces cerevisiae YJM554	1294315			YJM554					Annotation submitted by Duke University	Chromosome	2017-01-05		17
GCA_000978345.2	Sc_YJM1615_v1	Saccharomyces cerevisiae YJM1615	1294388			YJM1615					Annotation submitted by Duke University	Chromosome	2017-01-23		17
GCA_000977265.3	Sc_YJM1342_v1	Saccharomyces cerevisiae YJM1342	1294352			YJM1342					Annotation submitted by Duke University	Chromosome	2017-01-23		16
GCA_000975585.2	Sc_YJM195_v1	Saccharomyces cerevisiae YJM195	1294305			YJM195					Annotation submitted by Duke University	Chromosome	2016-07-29		16
GCA_000976095.2	Sc_YJM470_v1	Saccharomyces cerevisiae YJM470	1294313			YJM470					Annotation submitted by Duke University	Chromosome	2017-01-05		16
GCA_000977295.3	Sc_YJM1355_v1	Saccharomyces cerevisiae YJM1355	1294353			YJM1355					Annotation submitted by Duke University	Chromosome	2017-01-23		17
GCA_000977865.2	Sc_YJM1439_v1	Saccharomyces cerevisiae YJM1439	1294372			YJM1439					Annotation submitted by Duke University	Chromosome	2017-01-23		16
GCA_000977625.3	Sc_YJM1401_v1	Saccharomyces cerevisiae YJM1401	1294364			YJM1401					Annotation submitted by Duke University	Chromosome	2017-01-23		17
GCA_000976125.2	Sc_YJM541_v1	Saccharomyces cerevisiae YJM541	1294314			YJM541					Annotation submitted by Duke University	Chromosome	2017-01-23		17
GCA_000975645.3	Sc_YJM1078_v1	Saccharomyces cerevisiae YJM1078	1296266			YJM1078					Annotation submitted by Duke University	Chromosome	2017-01-23		17
GCA_002216725.1	ASM221672v1	Cryptococcus neoformans var. grubii	178876			KN99					Annotation submitted by Washington University in St. Louis	Chromosome	2017-07-12		14
GCA_002759435.3	Cand_auris_B8441_V3	Candidozyma auris	498019			B8441					Annotation submitted by National Center for Emerging and Zoonotic Infectious Diseases- Mycotic Diseases Branch	Chromosome	2024-04-22	PEKT03	7
GCA_014117485.1	ASM1411748v1	Aspergillus flavus	5059			AF13					Annotation submitted by University of Georgia	Chromosome	2020-08-09		8
GCA_000223565.1	PicPas_Mar2011	Komagataella phaffii CBS 7435	981350			CBS 7435					Annotation submitted by Institute for Genomics and Bioinformatics, Graz University of Technology	Chromosome	2011-04-06		4
GCA_001857865.1	ASM185786v1	Sclerotinia sclerotiorum 1980 UF-70	665079			1980					Annotation submitted by Curtin University	Chromosome	2016-10-31		16
GCA_900184105.1	ST99CH_3D1	Zymoseptoria tritici ST99CH_3D1	1276537								Annotation submitted by ETH	Chromosome	2017-10-31		21
GCA_900091695.1	Zt_ST99CH_3D7	Zymoseptoria tritici ST99CH_3D7	1276538								Annotation submitted by ETH	Chromosome	2017-05-12		17
GCA_900099495.1	ZT1A5 complete assembly	Zymoseptoria tritici ST99CH_1A5	1276529								Annotation submitted by ETH	Chromosome	2017-06-06		21
GCA_900184115.1	ST99CH_1E4	Zymoseptoria tritici ST99CH_1E4	1276532								Annotation submitted by ETH	Chromosome	2017-10-31		20
GCA_009663055.1	ASM966305v1	Fusarium fujikuroi	5127			CSV1					Annotation submitted by Unito	Chromosome	2019-11-14		12
GCA_009663095.1	ASM966309v1	Fusarium fujikuroi	5127			Augusto2					Annotation submitted by Unito	Chromosome	2019-11-14		12
GCA_009663115.1	ASM966311v1	Fusarium fujikuroi	5127			I1.3					Annotation submitted by Unito	Chromosome	2019-11-14		12
GCA_021901655.1	Pst134E16_v1_alt	Puccinia striiformis f. sp. tritici	168172			134E16A+17+33+					Annotation submitted by Australian National University	Chromosome	2022-02-03	JAIUNC01	18
GCA_024752415.1	ASM2475241v1	Fusarium pseudograminearum	101028			Fp22-2					Annotation submitted by Northwest A&F University	Chromosome	2022-08-28		4
GCA_016801405.1	ASM1680140v1	Parastagonospora nodorum SN15	321614			SN15					Annotation submitted by Curtin University of Technology	Chromosome	2021-02-02		23
GCA_900519115.1	Bgt_genome_v3.16	Blumeria graminis f. sp. tritici	62690								Annotation submitted by UNIVERSITY OF ZURICH	Chromosome	2019-08-27		12
GCA_900106125.1	PYCC 4715 assembly	Sungouiella intermedia	45354			PYCC 4715					Annotation submitted by CHALMERS UNIVERSITY OF TECHNOLOGY	Chromosome	2016-11-25		7
GCA_016859295.1	ASM1685929v1	Scheffersomyces stipitis	4924			NRRL Y-7124					Annotation submitted by University of Greenwich	Chromosome	2021-02-12	JADGGA01	10
GCA_016858175.1	ASM1685817v1	Saccharomyces cerevisiae	4932			CEN.PK					Annotation submitted by Inscripta	Chromosome	2021-02-10	JAEVFC01	35
GCA_010356935.1	ASM1035693v1	Saccharomyces cerevisiae	4932			INSC1006					Annotation submitted by Inscripta	Chromosome	2020-02-10	JAAEAK01	17
GCA_010356925.1	ASM1035692v1	Saccharomyces cerevisiae	4932			INSC1005					Annotation submitted by Inscripta	Chromosome	2020-02-10	JAAEAL01	17
GCA_016858165.1	ASM1685816v1	Saccharomyces cerevisiae	4932			S288C					Annotation submitted by Inscripta	Chromosome	2021-02-10	JAEVFD01	52
GCA_001634645.1	GLBRCY22-3	Saccharomyces cerevisiae	4932			GLBRCY22-3					Annotation submitted by University of Wisconsin - Madison	Chromosome	2016-05-11	LBMA01	31
GCA_000269885.1	ASM26988v1	Saccharomyces cerevisiae CEN.PK113-7D	889517			CEN.PK113-7D					Annotation submitted by Chalmers University of Technology	Chromosome	2012-06-19	AEHG01	70
GCA_000190215.1	ScVIN13_v01	Saccharomyces cerevisiae Vin13	764099			Vin13					Annotation submitted by The Australian Wine Research Institute	Chromosome	2011-02-25	ADXC01	107
GCA_000190195.1	ScAWRI796_v01	Saccharomyces cerevisiae AWRI796	764097			AWRI796					Annotation submitted by The Australian Wine Research Institute	Chromosome	2011-02-23	ADVS01	89
GCA_000190235.1	ScVL3_v01	Saccharomyces cerevisiae VL3	764100			VL3					Annotation submitted by The Australian Wine Research Institute	Chromosome	2011-02-25	AEJS01	84
GCA_000190255.1	ScFostersB_v01	Saccharomyces cerevisiae FostersB	764102			FostersB					Annotation submitted by The Australian Wine Research Institute	Chromosome	2011-02-25	AEHH01	90
GCA_000260735.2	K7_1.0	Saccharomyces cerevisiae Kyokai no. 7	721032			Kyokai no. 7					Annotation submitted by National Research Institute of Brewing	Chromosome	2011-10-04	BABQ01	522
GCA_000568005.1	R008	Saccharomyces cerevisiae R008	1182966			R008					Annotation submitted by University of Padova	Chromosome	2014-02-26	APIP01	31
GCA_000568365.1	R103	Saccharomyces cerevisiae R103	1182967			R103					Annotation submitted by University of Padova	Chromosome	2014-02-26	APIR01	73
GCA_000568295.1	P283	Saccharomyces cerevisiae P283	1177187			P283					Annotation submitted by University of Padova	Chromosome	2014-02-18	AOJC01	30
GCA_000568055.1	p301	Saccharomyces cerevisiae P301	1182968			P301					Annotation submitted by University of Padova	Chromosome	2014-02-26	APIQ01	41
GCA_041438215.1	C.albicans_101_alt1.0	Candida albicans	5476			101					Annotation submitted by SIB Swiss Institute of Bioinformatics	Chromosome	2024-08-23	JBEPJU01	10
GCA_000149445.2	ASM14944v2	Candida albicans WO-1	294748			WO-1					Annotation submitted by Broad Institute	Chromosome	2009-06-03	AAFO01	16
GCA_025331925.1	ASM2533192v1	Fusarium oxysporum	5507			Fo5176					Annotation submitted by Xi'an Jiaotong University	Chromosome	2022-10-03	JABFNM01	24
GCA_000149955.2	ASM14995v2	Fusarium oxysporum f. sp. lycopersici 4287	426428			4287					Annotation submitted by Broad Institute	Chromosome	2015-08-20	AAXH01	114
GCF_000149955.1	ASM14995v2	Fusarium oxysporum f. sp. lycopersici 4287	426428			4287					Annotation submitted by Broad Institute	Chromosome	2015-08-20	AAXH01	114
GCA_014154955.1	SMRT_HiC_Fo5176	Fusarium oxysporum f. sp. conglutinans	100902			Fo5176					Annotation submitted by University of Amsterdam	Chromosome	2020-08-13	JACDXP01	19
